existing_folder_name,existing_recipe_title,new_folder_name,new_recipe_title
cost-aware-resource-lifecycle-eventbridge-scheduler-memorydb,Orchestrating Cost-Aware Resource Lifecycle with EventBridge Scheduler and MemoryDB,cost-aware-resource-lifecycle-memorydb,Cost-Aware Resource Lifecycle with MemoryDB and EventBridge
cost-effective-ecs-clusters-with-spot-instances,Building Cost-Effective ECS Clusters with EC2 Spot Instances,cost-effective-ecs-clusters-spot-instances,Cost-Effective ECS Clusters with Spot Instances
cost-optimization-automation-lambda-trusted-advisor-apis,Implementing Cost Optimization Automation with Lambda and Trusted Advisor APIs,cost-optimization-automation-trusted-advisor,Cost Optimization Automation with Trusted Advisor APIs
cost-optimized-analytics-s3-intelligent-tiering,Cost-Optimized Analytics with S3 Intelligent-Tiering,cost-optimized-analytics-s3-intelligent-tiering,Cost-Optimized Analytics with S3 Intelligent-Tiering
cost-optimized-batch-processing-aws-batch-spot-instances,Implementing Cost-Optimized Batch Processing with AWS Batch and Spot Instances,cost-optimized-batch-processing-spot-instances,Cost-Optimized Batch Processing with Spot Instances
cqrs-event-sourcing-eventbridge-dynamodb,Implementing CQRS and Event Sourcing with EventBridge and DynamoDB,cqrs-event-sourcing-eventbridge-dynamodb,CQRS and Event Sourcing with EventBridge and DynamoDB
creating-ai-powered-infrastructure-code-generation-with-amazon-q-developer-and-aws-infrastructure-composer,Creating AI-Powered Infrastructure Code Generation with Amazon Q Developer and AWS Infrastructure Composer,ai-powered-infrastructure-code-generation,AI-Powered Infrastructure Code Generation with Amazon Q Developer
cross-account-data-access-lake-formation,Implementing Cross-Account Data Access with AWS Lake Formation,cross-account-data-access-lake-formation,Cross-Account Data Access with Lake Formation
cross-account-data-sharing-aws-data-exchange,Cross-Account Data Sharing with AWS Data Exchange,cross-account-data-sharing-data-exchange,Cross-Account Data Sharing with Data Exchange
cross-organization-data-sharing-managed-blockchain,Building Cross-Organization Data Sharing with Amazon Managed Blockchain,cross-organization-data-sharing-blockchain,Cross-Organization Data Sharing with Managed Blockchain
cross-region-disaster-recovery-automation-elastic-disaster-recovery,Implementing Cross-Region Disaster Recovery Automation with AWS Elastic Disaster Recovery,cross-region-disaster-recovery-automation,Cross-Region Disaster Recovery with Elastic Disaster Recovery
custom-cloudformation-resources-lambda-backed-custom-resources,Building Custom CloudFormation Resources with Lambda-Backed Custom Resources,custom-cloudformation-resources-lambda,Custom CloudFormation Resources with Lambda
custom-contact-center-solutions-amazon-connect,Building Custom Contact Center Solutions with Amazon Connect,custom-contact-center-solutions-connect,Custom Contact Center Solutions with Amazon Connect
custom-entity-recognition-comprehend-classification,Implementing Custom Entity Recognition and Classification with Comprehend,custom-entity-recognition-comprehend,Custom Entity Recognition with Comprehend
customer-service-chatbots-amazon-lex,Implementing Customer Service Chatbots with Amazon Lex,customer-service-chatbots-lex,Customer Service Chatbots with Amazon Lex
data-archiving-solutions-s3-lifecycle-policies,Building Data Archiving Solutions with S3 Lifecycle Policies,data-archiving-solutions-s3-lifecycle,Data Archiving Solutions with S3 Lifecycle Policies
data-catalog-governance-aws-glue,Implementing Data Catalog Governance with AWS Glue,data-catalog-governance-glue,Data Catalog Governance with AWS Glue
data-encryption-rest-transit,Implementing Data Encryption at Rest and in Transit,data-encryption-rest-transit,Data Encryption at Rest and in Transit
data-enrichment-kinesis-lambda,Building Streaming Data Enrichment with Kinesis and Lambda,streaming-data-enrichment-kinesis,Streaming Data Enrichment with Kinesis and Lambda
data-lake-architectures-s3-glue-athena,Building Data Lake Architectures with S3 Glue and Athena,data-lake-architectures-s3-glue-athena,Data Lake Architectures with S3 Glue and Athena
