customer_id,interaction_type,interaction_timestamp,campaign_id,channel,engagement_score,sentiment_score,conversion_value,customer_lifetime_value,demographic_segment,behavioral_tags
cust_001,email_open,${timestamp},camp_001,email,7.5,0.8,0.0,850.00,millennials,"frequent_buyer,brand_advocate"
cust_001,click,${timestamp},camp_001,email,8.2,0.9,50.00,850.00,millennials,"frequent_buyer,brand_advocate"
cust_002,email_open,${timestamp},camp_001,email,6.1,0.5,0.0,420.00,millennials,"occasional_buyer"
cust_003,social_share,${timestamp},camp_002,social,9.1,0.95,0.0,1200.00,gen_z,"social_influencer,early_adopter"
cust_003,click,${timestamp},camp_002,social,8.8,0.92,75.00,1200.00,gen_z,"social_influencer,early_adopter"
cust_003,purchase,${timestamp},camp_002,social,9.5,0.98,75.00,1200.00,gen_z,"social_influencer,early_adopter"
cust_004,website_visit,${timestamp},camp_003,paid_search,5.5,0.3,0.0,350.00,gen_x,"price_conscious"
cust_005,email_open,${timestamp},camp_004,email,8.7,0.85,0.0,950.00,millennials,"flash_sale_enthusiast"
cust_005,click,${timestamp},camp_004,email,9.2,0.9,40.00,950.00,millennials,"flash_sale_enthusiast"
cust_005,purchase,${timestamp},camp_004,email,9.8,0.95,40.00,950.00,millennials,"flash_sale_enthusiast"
cust_006,display_view,${timestamp},camp_005,display,4.2,0.2,0.0,150.00,gen_z,"new_customer"
cust_007,click,${timestamp},camp_006,display,7.8,0.7,0.0,780.00,millennials,"retargeted_user"
cust_007,purchase,${timestamp},camp_006,display,8.5,0.8,125.00,780.00,millennials,"retargeted_user"
cust_008,social_share,${timestamp},camp_007,social,6.5,0.6,0.0,600.00,gen_x,"brand_aware"
cust_009,email_open,${timestamp},camp_008,email,7.1,0.65,0.0,720.00,baby_boomers,"traditional_buyer"
cust_009,click,${timestamp},camp_008,email,7.8,0.75,60.00,720.00,baby_boomers,"traditional_buyer"
cust_010,app_install,${timestamp},camp_009,social,8.9,0.88,0.0,890.00,gen_z,"mobile_first"
cust_010,in_app_purchase,${timestamp},camp_009,social,9.1,0.9,25.00,890.00,gen_z,"mobile_first"
cust_011,email_open,${timestamp},camp_010,email,8.3,0.82,0.0,1150.00,millennials,"high_value_customer"
cust_011,click,${timestamp},camp_010,email,8.8,0.87,150.00,1150.00,millennials,"high_value_customer"
cust_011,purchase,${timestamp},camp_010,email,9.4,0.94,150.00,1150.00,millennials,"high_value_customer"
